ID;Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement;Comment on contract
EpVDGCcg;3702;;2013-07-03;;;
YyQRD4It;3706;;2010-02-26;;99;
6P-_TNq3;3707;;2010-04-26;;99;"Special Agriculture and Business Lease (SABL) granted to the landowner companies. The SABL holders and their preferred development partner
Goldwell Resource Co. (PNG) Limited entered into a sublease agreement that was executed and registered on the day of the direct grant, 26 April 2010."
KJy3tyEO;3708;;2010-09-24;;99;Special Agriculture and Business Lease to NEWIL is for 99 years but the land investigation report says that the customary landowners only are willing to free up their land for SABL purposes for only 25 years and not 99 years.
FI9IXS1R;3709;;2010-10-15;;99;Special Agriculture and Business Lease (SABL) was granted to Wammy Limited, which then granted a sublease over the entire SABL (Portion 27C) to Global Elite Limited for sixty (60) years. It was approved by Mr Pepi Kimas for purposes of Section 128 and 129 of the Land Act 1996 and registered with the DLPP on 29th October 2010.
UtjaSHre;3710;;2010-11-30;;99;Special Agriculture ad Business Lease (SABL)
hVia51AH;3711;;2011-03-14;;99;Special Agriculture and Business Lease (SABL) granted in 2011 was recommended to be revoked by the Commission of Inquiry in 2013.
9pwHfGtd;3712;No.23 / HGU / BPN RI / 2011;2011-04-26;;30;"stated that all areas under PT.
UMW and PT TUM management are non-forest
area (Areal Penggunaan Lain - APL)"
qlmqwZVp;3713;No. 784 / Menhut-II / 2012;2012-12-27;;;it refers to the Decree of the Minister of Forestry
UcXxzcDk;3715;49IKPTS/BPM-PTP/201 I;2011-07-18;;4;Izin Lokasi (Location Permit) for oil palm and rubber
0cfPhzG7;3716;;2007-08-03;;99;Special Agriculture and Business Lease (SABL)
Ek9I5lGG;3718;74l KPTS/BPM-PTP/2011 ;2011-12-01;;;Land Development Permit (ljin Lokasi) : decree 74l KPTS/BPM-PTP/2011 from Bupati Musi Rawas, 12 December 2011.
pSWs3Z7x;3719;;2010-01-01;2110-04-01;99;a 99-year State Lease over 5,992 ha in the town/Fourmil of Tufi, Section/Milinch Murua in Oro Province, expiring on 6 April 2110 (“Lot A”)
eQk67XCo;3720;;2012-08-08;2061-08-08;49;"a 49-year sublease over 21,520 ha of land held under a Special Agricultural & Business Lease (“SABL”) in the town/Fourmil of Tufi in Northern Province, expiring on 8 August 2061 (“Lot B”)


49-year sublease over 21,520 ha of land held under a Special Agricultural & Business Lease (“SABL”)
in the town/Fourmil of Tufi in Northern Province, expiring on 8 August 2061 (“Lot B”) and

A 49-year sublease over 16,830 ha of land held under a SABL, in the town/Fourmil of Tufi in Northern
Province, expiring on 8 August 2061 (“Lot C”)"
4UAtEf6x;3720;;2012-08-08;2061-08-08;49;a 49-year sublease over 16,830 ha of land held under a SABL, in the town/Fourmil of Tufi in Northern Province, expiring on 8 August 2061 (“Lot C”)
LhQZO72p;3721;;;;75;
L-QNlTD7;3738;;;;30;
8gp3UTDt;3745;;;;99;
uOfOPDsg;3746;;1995-11-22;;99;
mbJ1CFGk;3747;;;;25;
8WyAnkY1;3765;;2004;2029;25;The land for the pineapple plantation was registered and leased for 25 years in 2004 instead of the usual 50 years
jg0RNwqD;3766;;;;49;
WkHfHoE1;3768;;;;50;"The project is a 30-year lease of 1,000 hectares farm land granted to GADCO to develop rice farm.
"
5KgD_JnQ;3770;;2009-01-11;2059-01-12;50;There is an option of renewal for a further period of 25 years
WOuE6Otd;3771;;;;50;
fRil6I7p;3772;;2012-12-01;;50;
oJDxHQjD;3773;;2000;;50;"Some of the leases were to expire in 2015/2016. Due to the lack of land title, there is no official lease. When the company signed the sale contract with the previous owner, the intention was to have a 50-year, renewable, lease from 2020.
1. A letter from the Western Regional Lands commission confirming NGL’s right of use of the lands it is
operating on (pending the renewal of the leases) has been obtained.
2. Subsequently the chiefs/landowners have signed an Memorandum of Understanding (MOU) with
NGL indicating their preparedness to renew all the expired leases for the company whilst NGL also
fulfils its part of the MOU"
1PwC2KWJ;3777;;;;99;
IDi1HHsk;3778;;2012;2062;50;
Cc6JERWd;3783;;;;99;
n7qAxJd5;3784;;;;25;
bBxcEeHy;3785;;2011-08;;30;"forestry certificate (permit) numbers 004/84 and 014/2004. 

Carbon Rights Agreement signed on March 14, 2011 between ERA Ecosystem Restoration Associates and the DRC government by its representative the Minister of Environment. This agreement transfers the carbon rights to ERA, and states the roles and obligations of the two parties to that agreement, the project time period, revenue sharing with the government, payment to communities, and tax to be paid by ERA to the government, in this case only the area tax is to be paid, exempting ERA from other taxes established by the Forestry Code.
Forest Conservation Concession Contract signed on July 30, 2011 by ERA-Congo and the Ministry of Environment representatives, which allocates the conceded lands to ERA-Congo, and defines ERA-Congo’s social, environmental and management obligations.
This contract is effect for 25 years and applies to the 299,640ha project area. After this period, the contract may be renewed on the terms contained in Article 8 of the Concession Contract. The 25-year contract will be renewed to complete the 30-year project crediting period."
7GZVZatE;3787;;2010-11-02;;60;
SZMqEemq;3788;;;;50;
DyaCIDr6;3791;;;;20;
8IZKFME8;3792;;;;20;
gF69enOn;3795;;2012-06-08;2037;25;"25 years from date of adoption of the management plan. 
The management plan for the Pokola Forest Management Unit is approved by decree by the Council of Ministers for a period of application of 20 years, at the end of which it may be reviewed"
-MsCCm51;3799;;2008-05-12;;40;On May 22, 2007, Yunnan United Power Development Co., Ltd. and Myanmar Ministry of Electric Power jointly established Shweli I Hydropower Co., with Yunnan United Power Development Co., Ltd. holding 80% of the shares, while the Myanmar Ministry of Electric Power holding 20% of the shares. With the approval of the Myanmar government, Shweli I Hydropower Plant was developed in BOT (build-operation-transfer) manner. In accordance with the Joint Venture Agreement, Myanmar can use 15% of the electricity generated from the power station for free. The validity of the franchise right is 40 years.
qkvhQ-JZ;3801;;;;59;
1rI9ARBj;3803;;2008-08-21;;;
eNXf9Ncu;3805;;;;50;
YNadem_Z;3814;;2010-08-23;2035-08-23;25;The contract was signed on 17 August 2010 in the Ethiopia calendar which differs from global calendar.
d4NgTDCH;3815;;2012-07-12;2042-08;30;
l-aZYh_h;3816;;2011-03-19;2036-03-19;25;The contract was signed in March 10, 2003 Ethiopian Calender
xZpNYCcE;3817;;2003-02-01;;;
nxbAImZ2;3818;;2010-12-18;2035-12-18;25;The contract was signed in July 2003 according to Ethiopian Calendar which differs from the global calendar
9STI7OqX;3820;;2009-08-26;2034-08-26;25;The contract was signed in August 20, 2001 Ethiopian Calander
AXxGfrcv;3821;;2003-04-09;;25;
QebfV2db;3822;;2011-11-24;2035-11-24;25;The contract was signed 14 November in 2004 according to Ethiopian Calendar which differs from global calendar
xVtYrs2W;3823;;2011-07-11;;25;
tezsRmf_;3824;;2012-01-25;2037;25;
NF-pLF_j;3825;;2011-08-06;2036-08-06;25;The contract was signed in August 2003, Ethiopian Calendar
7AyFz7Xd;3826;;2012-06-25;2037-07-24;25;and lease Agreement shall remain effective for 25 years starting from the date of 25th June, 2012 and shall come to expiry as of the date of 24th June, 2037.
d1VcKFzZ;3827;;2010-12-01;2035-12-01;25;The contract was signed November 22, 2003, Ethiopia Calendar
l_Lat9lk;3828;;2009-11-10;2034-11-10;25;The contract was signed in November 01,  2002 Ethiopian Calender
wTVEXsLF;3829;;2002-03-30;;;
rDIs9j1t;3830;;2011-09-30;;25;
ZVPEad6s;3831;;2010-03-16;2035-03-16;25;The contract was signed in March 2002 according to Ethiopian Calendar which differs from the global calendar
u4R90Kbc;3832;;2012-06-25;2037-06-25;25;" The land lease agreement is made for period of 25 years but can be renewed for another additional year mutually agreed between the parties.
"
E92gxsTj;3833;;2010-05-15;2035-05-15;25;The contract was signed 09 May 2002 according to Ethiopian Calendar which is 2010 on global calendar.
pfYbeaDt;3834;;2009-09-26;2034-09-26;25;August 26, 2001 in Ethiopia Calander
4WfqRhFx;3835;;2011-05-05;2036-05-08;25;
2yZvgJUi;3836;;2011-07-30;2036-07-30;25;The contract was signed 23 July in 2003 according to Ethiopian Calendar which differs from the global calendar.
eKgT0BGx;3837;;2011-10-07;2036-11-07;25;The contract was signed in September 2004 according to Ethiopian Calendar
Qbqmdrf4;3838;;2011-03-19;2036-03-19;25;The contract was signed 10 March 2003 according to Ethiopian Calendar which differs from global calendar.
JnMv2Zmh;3839;;2010-01-09;2035-01-09;25;The contract was signed in 2002 Ethiopia  Calander
8tkhIft6;3843;;;;50;Certain plantation lands in Cameroon were given land use rights by the State of Cameroon in 1996 for a period of 50 years plus 50 years, renewable at a nominal value to the Group. With the Group’s continuing investment in replanting and extension on the plantation land, the Group is of the view that it is not likely that the land use rights will not be renewed at the expiring of its current term
mYPwpzQa;3843;decret No 2012/099;2012-03-12;;;Extension of plantation
bEGV6RhT;3844;;;;50;
EijW2QoI;3847;HK.350/201/Bun.5/III/2001;2001-03-16;2032-03-12;25;"PT Sembada Sennah Maju: Plantation Business Registration Letter (SPUP) No. HK.350/201/Bun.5/III/2001 Dated March 16,
2001 on behalf of PT Sembada Sennah Maju (Sennah Estate) Issued by the Director General of Plantations (on behalf of the Minister of Forestry and Plantations) Covering an area of 1,586 Ha Located in Bilah Hilir District, Kabupaten Labuhanbatu, North Sumatra Province. Then there is a Letter of Statement No: 522,525/525/1443/V/2014, dated December 3, 2014 from the Forestry and Plantation Service of Labuhanbatu Regency which explains that the Plantation Business Registration Letter No: HK.350/201/Bun.5/III/2001 has an area of not true. The correct one is 1,813.40 Ha. "
jPrlvFOZ;3847; 660/215/BLH-LB/AM/2012;2012-05-14;;;The company already has an environmental permit document in the form of a revised UKL-UPL document which has been approved by the Head of the Environmental Agency of Labuhanbatu Regency, number 660/215/BLH-LB/AM/2012 on May 14, 2012 with an operational area of 1,813.40 ha.
UlAy3kG6;3847;;2021-02-10;2026-02-10;5;The company already has a hazardous and toxic waste management permit document for temporary storage of hazardous and toxic waste based on the Decree of the Head of the Investment and One Stop Service Office, Labuhanbatu Regency number 503.660.3/137/DPMPTSP-BP2MNP/2021 on 10 February 2021 which is valid for 5 years. 
xGmeh1IQ;3848;;;;50;WAADL received a 50 year land concession of 20,000ha
4Ukl9hn2;3850;;;;50;
lybb30VT;3851;;;;50;
2DJbvydQ;3852;;;;;Were looking at duration of 30 years
mCt9Bdyw;3866;;;;25;
8JsZtogb;3867;;;;25;
RWTQWqXU;3880;;2013-08-06;2112-09;99;
RvcqVygp;3883;;2014-10-03;2113-10-03;99;
A5GC22cw;3901;FMC-004;2009-09-16;2034-09-16;25;
kMoele9j;3907;;2010-01-26;;30;
5ylgmJa2;3911;;;;50;
yov38eGu;3911;;;;40;
2_f2SYd0;3914;;;;50;
UbErg_SY;3915;;;;25;
1c6mdPmT;3920;No. 595.1/225/HK-2012;2012-10-01;;;
bLW47JXK;3920;No. 595.1/166/HK-2007;2007-07-18;;;In 2007, the company obtained the first area concession issued by Landak Regent according to the Landak Regency’s Decree No. 595.1/166/HK-2007 dated 18 July 2007 which covering area of 20,000 ha. T
i_jhkHzh;3923;;;;;See source 8 for all the details in any contract. Document in Spanish
IjTplEqG;3925;;;;55;
F7mmTwsm;3931;;;;99;
mzHr-GEG;3948;;;;50;
49uh-elu;3966;;2011-02-26;;;
CwAVFgYH;3969;;2013-02-14;;30;
IByUOF3n;3971;;;;50;Laos Government has currently granted the license to the LVF to rent 8,000 ha of land within 50 years,
NfdO-liV;3972;;2011-11-01;;41;
wF1UgZ8i;3984;;2008-03-13;;;
Th3qRepM;3986;;;;99;The Sudanese government stipulated a 99-year renewable lease for 87,200 ha of land.
adoHw22q;3993;;2009-06-24;;30;
TqOifN3D;3994;15;2012-11-15;;2;
F7p1sTQw;3995;16;2012-11-21;;2;
jZzuRlGW;3996;17;2012-11-21;;2;
cTJ-vJVv;4001;;;;2;
qeQQWYHD;4003;;;;2;
JWVjOm69;4004;;;;2;
cPGo8FXM;4005;;;;2;
h0U7Hfqm;4006;;;;2;
neU8DCOw;4013;;;;50;In Nambak the Sino-Lao Rubber Development Company was granted a 50-year concession in 2004, arriving in Namai village in 2006 to inform villagers and to start converting the leased upland.
GUuIVyO-;4013;;;;50;In Nambak the Sino-Lao Rubber Development Company was granted a 50-year concession in 2004, arriving in Namai village in 2006 to inform villagers and to start converting the leased upland.
n6D9U73l;4015;;2006-03-29;;30;The contract is valid for 30 years with an option for extension, which is unspecified in time.
ns3w-ub8;4016;;2003-10-06;;15;"According the data from Provincial Planning and Investment Department of Oudomxay as of June 2008, the contract length of Jianfong Rubber Development company in Houn district for rubber plantation is 15 years (the contract was approved on 16th October 2003). 
Source: Impacts of Recent Rubber Investment on Land Tenure and Livelihoods/Naf"
Q-JG7hfK;4017;;2006-08-01;;40;
urXkDlYt;4018;;2005-08-22;;15;
m8DNSEag;4019;;2006-08-01;;30;
vXD21nX0;4029;;;;;source says no contracts
fWOgBi4M;4031;;;;40;
k4QISqA6;4059;;2009-06-03;2033;25;"24,5 years
"
rXIRyztt;4061;;2011;2110;99;The company website states a 99-year lease.
lUvWyiT1;4063;;;;;"Planted Area - 2616 ha
Harvest Cycle - 10 years
Harvest - 2022"
7QWPW0TE;4068;;2013-09-06;;2;
h6SNbfRt;4083;;;;25;
1juno1Bq;4102;;;;25;
tUM2t0jK;4103;;2008-04;;;
9toVFIjB;4107;;;;18;
lJbWelZw;4111;;;;30;
fqx5_aYY;4112;;;;30;
RxKYxkru;4114;;;;90;"The project is under a 90-year lease agreement.
Source: The Phnom Penh Post"
t5AjiviI;4119;;;;;According to this report: https://landmatrix.org/media/uploads/companiesglobalmarketcomdk-bio-fuel-philippines-inc-189992html.pdf, the year that the company should start planting was year 2000.
ixCPBF-i;4128;;;;50;The Energy department has awarded GMC a 50-year contract to explore geothermal projects in an area.
GE6upePg;4130;;2003-09-18;;32;
kSERDtD0;4150;365/Kpts/IUP/Disbun/08;2008;;;
Uy_X1Yxz;4152;;2013-02-07;;;
B6x0wuqO;4163;;;;;As at 31 December 2007, the Group’s land use rights covering a total land area of 60,634 hectares represents HGU. The legal terms of the existing land rights of the Group expire on various dates between 2020 and 2035. Land use rights represent the cost of land use rights owned by the Group and are amortised on a straight line basis over their terms of 35 years. The terms can be extended for a period of 25 years subject to agreement with the Government of Indonesia and payments of premium.
GuM1P-Hj;4166;;2008-11-12;;49;
sET3ckFs;4190;173/02.188.45/HK/IV/2007;;;;
nQkTJBEk;4199;;2011-04-15;;;
jGn6Kt7o;4223;;2011-03-21;;30;
twwcDqXE;4224;;2011-03-21;;30;
l0_uMJXc;4234;;2011-09-10;;;
uzHW_Zif;4270;;;;40;
JuPpbwN-;4271;;;;50;
-eEf1fnG;4276;;;;40;
r54KwUv3;4277;;;;49;
sr7jnxjm;4295;;2013-09-22;;;
HbHzuDUr;4301;;;;50;a 50-year lease, with a 21 year extension option. However, in 2017, the project was abandoned.
oJX4Hg8b;4305;;2010;;99;
LfJtDK1W;4318;;2004-09-30;;60;
doqorD8h;4323;;;;30;
5zHVo0by;4327;ML152;2007;2022;15;Mining Licence- ML 152
qgehSmHn;4330;;;;99;Maximum duration offered will be 99 years.
MQ-kgMMv;4341;;2012;;50;"""The lease is for 50yrs from 2012. However, the registration remains incomplete due to the litigations."" (from interview with investor by CLPI)"
_43c6TAX;4364;;;;30;
JqdEaghP;4368;;;;25;
KidxgiXS;4374;;2009-01-14;;;
uEl5CEYA;4380;;;;90;
gjcNmXpX;4383;;;;15;
fcFLJ005;4384;;2009;2059;50;
3xfZ7sk3;4403;;;;99;
aFoFQmzj;4416;;;;10;
fkUB4s7d;4420;;2011-04-06;;;
v1SCA_Bz;4421;;2009-08-13;;70;
0VNSAx2l;4422;;2008-10-08;;70;
t1x4WtqW;4423;;2012-03-09;;5;
8JQMf5mU;4425;;2009-08-20;;;
agW6xXO7;4426;;2011-01-01;;;
nxbKjbut;4427;;2011-07-22;;;
q4KnRjie;4428;;2011-02-22;;;
Mf2sBILl;4429;;2010-03-18;;;
lbY6qCjR;4432;;2014-02;2039-03;25;
3c66gNFj;4434;;;;25;
QCgkWUx7;4439;;2010-12-07;;;
_LIufh8K;4440;;2010-05-24;;;
0ubLFRpz;4441;;2010-07-09;;;
d4uaJKRC;4442;;2010-12-30;;;
N83p_jiO;4445;;2012-01-26;;;
7ECgGhDw;4447;;2010-05-06;;;
H0NCAr5U;4452;;2009-10-01;;;
forhUmt2;4453;85512926818;2012-06-08;;;The contact number collected information from Provincial Department of Labor and Vocational.
SsQnbZrh;4454;;2011-05-30;;70;
iKq2mgmp;4455;;2011-02-15;;50;Formerly 70 years but the government reduced the concession period to 50 years in 2015.
cC5TDKSv;4464;;2014;2039;25;
0g4TinMp;4468;;2008-01-18;;35;
0X-kwqls;4470;;;2060-01-01;;
th7VSPgr;4474;No. 503/25/SK - DISBUN KUKAR/X/2008;2008-10-20;;;IUP Contract 
kFbbKpKO;4474;No. 7/HGU/BPN RI/2010;2010-01-27;;;HGU Contract 
r3ECtBSs;4475;;2013-07-23;2048-01-01;35;35 years, expiring in 2048
HOzRZlfA;4476;;2019-01-02;2052-01-01;35;35 years, expiring 2052
O2pztlod;4483;;;;49;
EgeRfi3Y;4485;;;;20;
VzxxA_0g;4496;7314;2009-06-11;;40;
SeOKL4hs;4506;;;;99;
NjnZkWbm;4507;;;;15;
XREgegAw;4514;;2013;2038;25;
ugH8OqeX;4519;;2011-05-05;;50;
gCyhuo2D;4520;;;;25;
L_rpxcZr;4521;EDSR17448;2013-06-11;;;Certificate of Occupancy No.EDSR17448, this certify that PRESCO Plc about land 14,436.823 hectares for Agriculture purpose only. Issued on June 11, 2013 by Governor of Edo State of Nigeria.
QLzz2rDn;4521;;;;;Additional land acquired in 2016. No contract details available.
5PJIIKcw;4540;;;;25;
dFMBNHYm;4545; N 401-рп;2008-07-23;2030-12-22;22;The company has at least one contract signed with the State (this contract sized 271113 ha)
OtXfmu-G;4555;;2006-03-17;2106-03-16;99;Original lease contract signed in 2006, taken over by Okomu Palm Oil in 2013
gB42SqKm;4556;;2002-01-15;;;
vjbfDXSH;4557;97;2010-09-01;;8;
6-31OdOH;4563;;2005-06-23;;;
nM-qms1J;4566;;;;15;The ESIA states that it is a 99 year term.
TyIyhLGe;4569;;2003-12-01;2063-12-01;60;renewable for another 40 years
oTqW6rln;4576;;2004-10-19;;;
cg-SWlT2;4578;238 A Ikh Dashir;1995-07-26;2025-07-26;30;"Mining license 238 A was re-registered, also on September 20, 1997, from its predecessor license A-62 (originally issued to Mongol Erdene on July 26, 1995) and
subsequently transferred to Altai on January 23, 1998. Altai in turn transferred the
license to BGC on May 5, 1999. Covers 41 hectares."
aclYYu2_;4578;198 A Boroo;1997-06-21;2026-07-04;30;"Mining License A-32 covering the Boroo gold deposits was originally granted to Altai
on July 4, 1996 for an initial period of 15 years. BGC was established in 1997 as a
joint venture between Altai (50%) and the London-based Asia Mining Investment
Corporation (AMIC, 50%). Mining License A-32 was transferred to BGC by the
Ministry of Energy, Geology and Mining on June 21, 1997 by Special Ministerial
decree (Order A\107). It was re-registered as License 198 A on September 20, 1997 as
part of the adjustments when a new mining law was promulgated in Mongolia. Covers 1,400 hectares."
MRejnEPd;4578;1960 A Boroo;1999-11-28;2029-11-29;30;Covers 589 hectares
6EWdtoAh;4578;1970 A Boroo;1999-12-06;2029-12-06;30;Covers 643 hectares.
U84d1j-k;4578;6963 A Bayangol;2004-01-17;2034-01-17;30;Covers 25 hectares.
PUGO59Ns;4578;6964 A Boroogol;2004-01-17;2034-01-17;30;Covers 345 hectares.
BWYj62Nk;4578;7461A Nariin Khondii;2004-05-12;2034-05-12;30;Covers 2,321 hectares.
tv1fOYoj;4578;11761A Ikh Dashir;2006-05-12;2036-05-12;30;Covers 79 hectares.
Yf0z7b2Q;4578;12039A Ikh Mandal;2006-09-19;2036-09-19;30;Covers 911 hectares.
gqvGnBnU;4583;;;;50;
UTga2FCy;4595;;2013-06-06;2062-06-06;49;Information about the contract is from the judicial decision.
sTnmyquj;4596;#592;2021;2028;7;6322888000:01:000:0627 - cadastral number. Land plot owned by village council 
syPV7Ur-;4602;;2005-07-26;;25;
iD7xpFH5;4603;;2016;;49;long-term (49 year, renewable to 99 year) agriculture lease (Bail Emphyteotique signed between the Director General of Olam Gabon, the President of Republic of Gabon and Minister of Town Planning and Housing (Ministre de l’Urbanisme et du Logement)
LL-NXwix;4617;;;;;Investor is requesting 99 years but state is only offering 25 years.
W26hKGSA;4619;;2013;;;
MBKeOrBp;4621;;;;5;
Mj76IsS0;4638;;;;33;
odsHYoCG;4692;MV-017471A;2014-06-02;2044-06-02;30;
UMuLAItc;4701;;2001-01-01;2080-01-01;79;Leasehold expiring 2080-2086
IuPiJkUO;4702;;2001-01-01;2083-01-01;82;Leasehold expiring 2083
YrR9g2Pm;4703;;;;;Leasehold expiring 2037,2081, 2097 for land acquisitions from 2003 to 2007
NN9R9riP;4704;;2003-01-01;2888-01-01;85;Leasehold expiring 2888
WZqXhxRt;4705;;2003-01-01;2090-01-01;87;Leasehold expiring 2090
_f8oHtas;4707;095311667;1983-08-07;;;Linbar estate	 land certificate is numbered 095311667 and is dated	08/07/83  (4,840 ha) from the Government of	 the	 State	 of	 Sabah,	 and	 includes	 lease	 condition: which	is	for	the	cultivation	of	oil	palm. This was before the land was purchased by Right Purpose. IOI Group acquired the land in 2003 with a leasehold expiring 2081.
aTOiizph;4707;;2003-01-01;2081-01-01;78;
6PQIWQnS;4708;;2003-01-01;;;Leasehold expiring 2079-2081, 2090, 2092
WLN0vLw9;4709;;2003-01-01;2082-01-01;79;Leasehold expiring 2082.
lFsISSi_;4712;;;;61;Leasehold expiring 2074, 2077-2079
3OAaTtPA;4713;;2014;;99;within five years from start of the farming activities and its lifespan is 99 years
ilpD8WRI;4722;;;;40;
ndkBLm7h;4727;;;;99;
x5BG4Sq2;4734;;;;10;
T9t7WC_q;4749;;;;49;
HraDLlPq;4750;;;;49;
r8C74aaq;4752;;;;49;
DIS5Iit0;4756;;;;49;
_7ukzn9z;4760;;;;5;
LSd5eL4h;4763;;;;;KML  is  the  holder  of  five  Large-scale  Mining  Licences.    15868-HQ-LML  covers  the  Sentinel  deposit, processing plant and supporting infrastructure, whilst 15869-HQ-LML covers the Enterprise deposit.  15870-HQ-LML, 15871-HQ-LML and 15872-HQ-LML cover exploration areas, sites for Project infrastructure and buffer zones to prevent encroachment of local settlements
Zxp97vIN;4764;;;;20;
LGV2mCSW;4765;;2015-09-07;;25;
JgHog8f4;4766;;;;25;
oKXKf_nN;4767;;;;25;
yzbN3ptF;4768;;;;25;
rwrsgi6c;4780;;;;10;
Utz4rG23;4785;;2009;2108;99;
xhq2THcA;4791;;;;25;
wOVj5SRW;4797;;;;10;
LSxLVVus;4800;;;;38;
2IynRVu2;4801;Regent Decree of Ketapang No: 384;2009-10-23;;;First license area for oil palm plantations covering an area of 19,400 ha through the Regent Decree of Ketapang on 27th April 2005. Based on a new Regent Decree of Ketapang No: 384, 2009 on 23rd October 2009, the permit covered an area of 15,119 ha. Renewal No.503/PEM/2012 dated 5th December 2012.
xnYOUIKD;4802;Ketapang Regent Decree No. 106 Year 2005;2005-04-27;;35;"a. Location Permit: License area for 15,800 ha based on Ketapang Regent Decree No. 106 Year 2005 dated 27th 
April 2005. License Area Extension. Regent Decree of Ketapang No: 037/PEM/2008 dated 28th January 2008
Renewal No. 90/2009 dated 4th March 2009. 
b. Plantation Operational License/IUP: through the Regent Decree of Ketapang No : 551.31/0707/ DisbunC/2005 dated 11th April 2005 
c.Land Use Title (HGU): Issued by BPN (HGU Certificate No.02 BPN, Ketapang, West Kalimantan dated 15th October 2009 which declared the HGU for PT SMA is for around 8,374 ha."
VD8qsdw8;4803;Regent Decree of Kapuas No: 946/2006;2006-09-30;;;
Yj8zoLtY;4804;;2004-12-31;;;PT. Dwi Warna Karya, PT. Kapuas Maju Jaya and PT. Susantri Permai. All three are subsidiaries of the Genting Group. These companies have encroached on forest areas and have not obtained permits to release forest areas from the Ministry of Environment and Forestry (LHK) to date. The company only holds location permits and plantation business permits (IUP), without any supporting documents such as AMDAL, Environmental Management Efforts (UKL) and Environmental Monitoring Efforts (UPL).
Y5CFKOSY;4805;No. 291/Disbunhut/2012;2009-10-15;;;The location permit (Izin Lokasi) for PT. Globalindo Agung Lestari was approved by Regent of Kapuas, No. 444 year 2009 dated 15th October 2009 and Regent of South Barito, No. 187/2012 dated 21st May 2012. The Plantation Permit (Izin Usaha Perkebunan/IUP) was approved by Regent of Kapuas No. 291/Disbunhut/2012 and Regent South Barito No. 44/Disbunhut/2007. 
wQgJ2zsr;4805;o No. 44/Disbunhut/2007;;;;The location permit (Izin Lokasi) for PT. Globalindo Agung Lestari was approved by Regent of Kapuas, No. 444 year 2009 dated 15th October 2009 and Regent of South Barito, No. 187/2012 dated 21st May 2012. The Plantation Permit (Izin Usaha Perkebunan/IUP) was approved by Regent of Kapuas No. 291/Disbunhut/2012 and Regent South Barito No. 44/Disbunhut/2007. 
PjB1P_mC;4819;;;;5;
pIWvit93;4830;;;;49;
92tLSxM4;4847;;;;49;
splm37eB;4853;;;;49;
Uj7xc6bd;4856;;;;49;
M4bWX9tM;4871;;;;25;
VGQaSzWm;4873;SK.35/HGU/DA/85;1985;;;First HGU of 1985
h_KWSaeC;4873;05/Kons/KWBPN/HGU/JATIM/2004;;;;Songgon (9.995.500 m2) and Kluncing (1.902.600 m2)
r3AhoOfT;4873;HGU/295, 296, 297;;;;The latest HGU issued in 2019
Y1lds-zv;4873;nomor 280/600.1.35.10/II/2018,;;;;The letter explained that the Bumi Sari HGU was not located in Pakel Village.
3k4OVSrJ;4874;;2012-08-24;;;
W-dQa1fU;4875;123/Menhutbun-VII/2000;2012-02-29;;;
wa3OK1iR;4876;125/Menhutbun-VII/2000;2012-02-29;;;
wQoZFsqd;4879;369/Menhutbun-VII/2000;2012-04-05;;;
S7UaCJ9p;4880;366/Menhutbun-VII/2000;2000-04-05;;;
oOctDl_c;4880;14/HGU/BPN/1999;1999-09-07;2024-09-06;29;
o0r4z8sD;4885;;;;5;
TQ9n0c-p;4911;;;;5;
cJM5owo8;4915;;;;49;
OtyDXXa-;4922;;;;49;
lj2nmOhS;4927;;2013;;35;
qniTTB3E;4929;;;;25;
_Y6ytxYj;4934;;;;50;
BPsf6e5e;4940;;2011;;50;Renewable for extra 25 years
c5bgFJ5H;4942;;;;10;
mb6DR1Ob;4949;;;;35;
jMOokGZU;4950;;;;11;
p1Nl52qQ;4952;2011-419/PRES/PM/MEDD;2011-06-23;;;Decree No. 2011-419/PRES/PM/MEDD of June 23, 2011
Iy9y1uF5;4962; №37002997;2020-06-19;;;Prolongation of the land agreement with the community-owned land in Nekhaiky village 
3n_CmM6m;4965;;;;60;Sustainable Forest Plantation Management Certificate under Malaysian Timber Certification Council Expiration is on 14 January 2024
iXtgIiYS;4965;;;;;*In 2003, Timor Enterprises Sdn Bhd has entered into an agreement with Samling Reforestation (Bintulu) Sdn Bhd (SRB) for the transfer of licence relating to a planted forest in Bintulu, Sarawak, for RM11.49mil cash.
bQdXKVgn;4966;;;;50;
M2MdvrCN;4977;;;;15;Lease agreement with company Luch. Contracted area - 1500 ha
GccCb-Ee;4977;;;;49;Lease agreement with State administration. Contracted area - 2300 ha
6mdfUa1D;4978;048/12;2012-04-27;2037-04-26;25;Another source indicates contract number is 024/05 (year is 2005). Contract is renewable.
C1rE7Fw4;4979;064/14;2014-07-10;2039-08-09;25;
nOPlMlO9;4989;049/14;2014-04-25;2039-04-24;25;
wIU8affG;4990;011/11;2011-08-04;2036-08-03;25;
twQKxCYM;4991;TSC0005;2008-06-27;2011-06-25;3;
0YVF78th;4992;TSC-0001;2008-06-27;2011-06-25;3;
OldlNEGL;4993;022/11;2011-10-24;2036-10-23;25;
1Q8UkKpk;4994;013/11;2011;;;Contract number 013/11 for ITB was cancelled in 2018.
MarR1JsC;4994;008/20;2020-01-14;2045-02-05;25;Contract 008/20, previously Contract number 013/11 for ITB was cancelled in 2018.
