ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
IHh0LIdV;590;Coordinates;Krishna Nagar, Puducherry, Indien;11.95335,79.80469;;;"Pondicherry, Sedarpet
Coordinates: 11.953349, 79.804688"
B3TalN6G;591;Exact location;Jagatsinghpur, Odisha, India;20.25977,86.64691;Proposed POSCO Steel Plant and Captive Port;;location obtained from Google Earth Pro
4xIx4S2R;591;Administrative region;Bhubaneshwar, Odisha, India;20.29606,85.82454;POSCO India Headquarters;;
9uRqUD6r;591;Approximate location;Sundargarh, Odisha 770041, India;21.76086,85.11685;Prospected Captive Iron Ore Mines for POSCO India;;
HozX_EfO;591;Administrative region;Keonjhar, Odisha, India;21.62893,85.58168;Prospected Captive Iron Ore Mines for POSCO India;;
rezd6rlQ;592;Coordinates;Haryana, Gurgoan, Jhajjar;28.58452,76.6626;;;"Haryana, Gurgoan, Jhajjar
Coordinates: 28.584522, 76.662598"
WiF7ByTA;593;Exact location;Motikhavdi, Gujarat 361280, India;22.34887,69.8495;Reliance Jamnagar SEZ;;"Motikhavdi, Lalpur Taluka, Jamnagar District, in the state of Gujarat
Coordinates: 22.512557, 70.048828"
RmypTy-O;594;Administrative region;Nandigram, West Bengal, India;21.99976,88.00206;;;
rKYm8eqo;595;Exact location;Sriperumbudur, Tamil Nadu, Indien;12.96746,79.94182;;;Tamil Nadu, Bairamangalam
BrLg5Y8O;602;Administrative region;Gagret, Himachal Pradesh 177201, India;31.6622,76.0595;;;"Himachal Pradesh, Una
Coordinates: 31.477866, 76.283569"
OZiTZOCY;603;Coordinates;Karnataka, Banguluru (rural), Nandagudi;13.00456,77.51953;;;"Karnataka, Banguluru (rural), Nandagudi
Coordinates: 13.004558, 77.519531"
HY935Tcc;604;Administrative region;Lohandiguda, Chhattisgarh 494010, India;19.15011,81.75819;;;
ciKlNqeh;605;Administrative region;Gobaraghati, Odisha 765015, India;19.19583,83.17897;;;Kalinganagar in Orissa’s Jajpur district
h4z6IsfZ;605;Administrative region;Chandia, Odisha, India;20.94633,86.02746;;;
OwOkzBVN;605;Administrative region;Nuagaon, Odisha 759141, India;21.11022,84.72372;;;
bmPmKH2h;605;Administrative region;Gadapur, Odisha, India;20.96162,86.04531;;;
oXIV03Q-;605;Administrative region;Khurunti, Odisha, India;20.97364,86.05041;;;
kaj-UOYB;605;Administrative region;Baragadia, Odisha 755026, India;20.98891,86.00323;;;
sRe0Y5-h;608;Approximate location;Niyamgiri Hill Range, Odisha, India;19.59012,83.37894;;;location for mining
pruY6YgS;608;Exact location;Viswanathpur, Lanjigarh, Odisha 766027, India;19.71213,83.39898;Vedanta Limited Alumina Refinery;Exact address: Alumina Refinery Project, At/PO – Lanjigarh, Via – Viswanathpur, Kalahandi, Lanjigarh, Odisha – 766 027, India;"location for the alumina refinery plant; location found in Google Earth Pro and Annual Report 2019"
psRX3ed1;609;Administrative region;Gandheli, Maharashtra 431007, India;19.81338,75.40534;;;In January 2010, the company was requested by the State’s Chief Minister to shift the project from Wagholi taluka to Saswad taluka due to protest from the local farmers.
4ioGtngh;609;Administrative region;Adgaon, Nashik, Maharashtra, India;20.03924,73.85661;;;
Rk3_q3ga;609;Administrative region;Deolali, Maharashtra 413716, India;19.4728,74.62101;;;
PJXUrbQ3;609;Administrative region;Balapur, Maharashtra 431701, India;19.53,77.4;;;
-pDFqOfc;609;Administrative region;Zalta, Maharashtra 431007, India;19.83952,75.4403;;;
fRs7NX37;609;Administrative region;Chincholi, Maharashtra 431007, India;19.78407,75.43739;;;
60MMM7d2;609;Administrative region;Parvati Nagar, Aurangabad, Maharashtra 431004, India;19.90734,75.32154;;;
2YmiXu1J;614;Administrative region;Valliyur, Tamil Nadu 627117, Indien;8.3834,77.61065;;;2023 ha are at the foothills in Valliyur
ylXd4lUt;614;Administrative region;Thoothukudi, Tamil Nadu, Indien;8.76417,78.13484;;;1619 ha are near Tutitcorin
HjbQMlvx;615;Coordinates;Andhra Pradesh, Indien;17.6725,77.5972;;;Industrial Park, Vakalapoodi, Kakinada, Andhra Pradesh (https://www.industryabout.com/country-territories-3/719-india/biofuel-industry/6471-naturol-bioenergy-kakinada-biodiesel-plant)
cMOqPMyI;616;Administrative region;Atchutapuram, Andhra Pradesh 531011, India;17.56517,82.97972;;;"Andhra Pradesh, vishakapatnam, Achuttapur
Coordinates: 17.790535, 83.210449"
CbY0yYX4;616;Administrative region;Rambilli, Andhra Pradesh 531061, India;17.46487,82.92999;;;
ZdJ0mlQ2;618;Administrative region;Punjab, Indien;31.14713,75.34122;;;Punjab State
iUhLoVz0;619;Administrative region;Samsthan Narayanpur, Telangana 508253, India;17.16212,78.88072;;;Andhra Pradesh
TXi3I5D1;619;Administrative region;Vishakhapatnam, Andhra Pradesh, India;17.68682,83.21848;;;
W8vnZgnP;620;Administrative region;Madhya Pradesh, Indore;22.79644,75.80566;;;Madhya Pradesh, Indore
_G0qg6Qo;625;Coordinates;West Bengal, Singur;22.81147,88.22897;;;"West Bengal, Singur
Coordinates: 22.811472472809285, 88.22896957397461"
lwzORzU3;626;Administrative region;Sanand, ahmedabad, Gujarat, india;23.0314,72.29485;;;GIDC, Sanand, Gujarat, India
B93J1EKd;626;Administrative region;Bol, Gujarat, India;22.98961,72.26673;;;
eggLfxVH;628;Administrative region;Tamil Nadu, Virudhunagar district, Sattur tulak;9.34736,77.90322;;;Tamil Nadu, Virudhunagar district, Sattur tulak
yLhi6Xu2;629;Coordinates;Rajasthan, Jaipur, location: Mahindra World City;26.80707,75.64241;;;"Mahindra Sez, Ajmer Road, Rajasthan, Jaipur, location: Mahindra World City
Coordinates: 26.807065416866916, 75.64241409301758

Spatial data derived from the Mapathon 2020."
KifebuR2;630;Coordinates;Polepally, Telangana 509301, India;16.82648,78.11786;;;"Andra Pradesh, Polepally
Coordinates: 16.82647797598942, 78.11785697937012"
DftZfQ0p;634;Administrative region;Tamil Nadu, Indien;11.12712,78.65689;;;
RhKPsS1j;636;Administrative region;Tamil Nadu, Thiruvannamalai;12.22829,79.07461;;;"Tamil Nadu, Thiruvannamalai 
Coordinates: 12.228292940767597, 79.07461166381836"
P7AiS9OY;636;Administrative region;Puducherry, India;11.91386,79.81447;;;
iDRLruah;637;Coordinates;Tamil Nadu;12.22829,79.07461;;;"Tamil Nadu, Thiruvannamalai 
Coordinates: 12.228292940767597, 79.07461166381836"
g61ltjSg;638;Approximate location;Coimbatore, Tamil Nadu, India;11.01684,76.95583;;;
L_4fV1Ya;638;Approximate location;Erode, Tamil Nadu, India;11.35,77.73333;;;
TL4WXVHp;638;Approximate location;Dindigul, Tamil Nadu, India;10.36731,77.98029;;;
5YZV4IEp;638;Approximate location;Karur, Tamil Nadu, India;10.95,78.0833;;;
ZwqAfXps;638;Approximate location;Gudimangalam, Tamil Nadu 642201, India;10.69127,77.27931;;;
kbL0Pwco;643;Coordinates;Karnataka, Mangalore;12.91414,74.85596;;;"Karnataka, Mangalore
Coordinates: 12.914142, 74.855957"
r3KC23gm;644;Administrative region;Gujarat, Indien;22.25865,71.19238;;;
W1VXZZzW;644;Administrative region;Uttar Pradesh, Indien;27.57059,80.09819;;;
k7AHQE1M;644;Administrative region;Orissa, Indien;20.23756,84.27002;;;
k0UsGTr5;644;Administrative region;Karnataka, Indien;15.31728,75.71389;;;
Aq4o9k21;644;Administrative region;Andhra Pradesh, Indien;17.04776,80.09819;;;"
"
iS-fFi-Z;644;Administrative region;Madhya Pradesh, Indien;22.97342,78.65689;;;
G1vzbs13;645;Administrative region;Uttar Pradesh, Indien;27.57059,80.09819;;;"Uttar Pradesh
Coordinates: 27.566721430409707, 80.101318359375"
9Eu1awy1;648;Administrative region;Chennai, Tamil Nadu, India;13.05241,80.25082;;;There are currently operations of Charoen Pokphand in the Northeast of India
mP8fQMKl;649;Country;India;20.59368,78.96288;;;
edExVYD7;650;Coordinates;Chhattisgarh, Raigarh, location: Lailunga/Kondkel;22.37363,83.58587;;;"sub block IV/4 of Gare Block in Mand Raigarh Coalfield, Dist. Raigarh Chhattisgarh 
Location: Lailunga/Kondkel
Coordinates: 22.373625, 83.585874"
b6glckhN;651;Coordinates;Chhattisgarh, Raigarh, location: Milupara;22.18333,83.51667;;;"Chhattisgarh, Raigarh, location: Milupara
Coordinates: 22.183333, 83.516667"
CLeuz-ns;652;Coordinates;Chhattisgarh, Raigarh, location: Dongamoha;22.13335,83.53798;;;"Chhattisgarh, Raigarh, location: Dongamoha
Coordinates: 22.13335144230487, 83.53797912597656"
LWSF4rQM;654;Coordinates;Chhattisgarh, Raigarh, location: Karwahi near Tamnar;22.08898,83.43859;;;"Chhattisgarh, Raigarh, location: Karwahi near Tamnar
Coordinates: 22.088980234742568, 83.4385871887207"
t_ctIeUB;655;Coordinates;Maharashtra, Raigad;18.51575,73.18216;;;"Maharashtra, Raigad
Coordinates: 18.515752, 73.182162"
9e9i_1g5;659;Administrative region;Hayathnagar, Hyderabad, Andhra Pradesh, India;17.32425,78.60582;;;"Andhra Pradesh, Rangareddy Distt.
Coordinates: 17.389138, 77.836728"
seAlh04P;661;Administrative region;Achutapuram, Andhra Pradesh 533435, India;17.21178,81.83473;;;"Andhra Pradesh, Visakhapatnam
Coordinates: 17.686816, 83.218482"
nhrwFh8J;661;Administrative region;Rambilli, Andhra Pradesh 531061, India;17.46487,82.92999;;;
WWfnsV97;662;Coordinates;Sri City, Andhra Pradesh, India;14.43734,79.9736;;;"Andhra Pradesh, Nellore District
Coordinates: 14.437340078585587, 79.97360229492188"
ctHv2A5M;663;Coordinates;Andhra Pradesh, Chintavaram Village, Chillakur, Nellore District;14.1309,79.86468;;;"Andhra Pradesh, Chintavaram Village, Chillakur, Nellore District
Coordinates: 14.130902, 79.864684"
4EIleqeJ;664;Coordinates;Andhra Pradesh, Nellore District;14.43734,79.9736;;;"Andhra Pradesh, Nellore District
Coordinates: 14.437340078585587, 79.97360229492188"
nSVs851P;665;Coordinates;Andhra Pradesh, Anantapur, location: Hindupur;13.83,77.49;;;"Andhra Pradesh, Anantapur, location: Hindupur
Coordinates: 13.83, 77.49"
I4dMlgQg;666;Approximate location;Andhra Pradesh, Nellore District;14.43734,79.9736;;;"Andhra Pradesh, Nellore District
Coordinates: 14.437340078585587, 79.97360229492188"
AvuHDWE3;667;Coordinates;Andhra Pradesh, Visakhapatnam District, location: APIIC Industrial Park, Makavarapallem Mandal;17.74705,83.33456;;;"Andhra Pradesh, Visakhapatnam District, location: APIIC Industrial Park, Makavarapallem Mandal
Coordinates: 17.7470517365237, 83.33456039428711"
vBX5SaRt;668;Coordinates;Andhra Pradesh, Vizianagaram, location: S. Kota;18.05066,83.24538;;;"Andhra Pradesh, Vizianagaram, location: S. Kota
Coordinates: 18.050663383994507, 83.24538230895996"
52kk_bL0;669;Coordinates;Andhra Pradesh, Chillakur, Nellore District;14.1309,79.86468;;;"Andhra Pradesh, Chillakur, Nellore District
Coordinates: 14.130902, 79.864684"
uxApaDEX;670;Coordinates;Gujarat, Dahej;21.73085,72.56091;;;"Dahej SEZ is located in Vagra Talulka of western part of Bharuch District, Gujarat, India
Coordinates: 21.730855, 72.560906"
--SFgtc4;672;Coordinates;Ahmedabad;22.46167,72.15694;;;"Gujarat, Ahmedabad, locations: Moujhe Haripura, Dhandhuka; Coordinates extracted from Google Maps"
8QlA2Syo;673;Coordinates;Gujarat, Jamnagar;22.46667,70.06667;;;"Gujarat, Jamnagar
Coordinates: 22.466667, 70.066667"
OGYSI36R;675;Coordinates;Gujarat, Ahmedabad, location: Rajoda;22.86985,72.38892;;;"Gujarat, Ahmedabad, location: Rajoda
Coordinates: 22.869848657005296, 72.388916015625"
d9UL7tAp;676;Coordinates;Nimeta, Gujarat 391760, India;22.30204,73.39691;;;"Gujarat, Vadodara, location: Gram Nimeta, Taluka Waghodiya
Coordinates: 22.30204088533401, 73.39691162109375"
Eb2jc3h6;677;Coordinates;Gujarat, Bharuch, location: Jambusar;22.05,72.8;;;"Gujarat, Bharuch, location: Jambusar
Coordinates: 22.05, 72.8"
bnEoQUQh;678;Coordinates;Karnataka, Mangalore;12.91414,74.85596;;;"Karnataka, Mangalore
Coordinates: 12.914142, 74.855957"
oukdejCq;679;Administrative region;Kadechur, Karnataka, India;16.51716,77.3267;;;"Karnataka, Hassan
Coordinates: 13.0072, 76.094543"
52ONcyJA;679;Administrative region;Yadgir, Karnataka, India;16.7667,77.1333;;;Badihala village
MuQV3wvi;680;Administrative region;Padubidri, Karnataka 574111, India;13.13838,74.77084;;;"Karnataka, Mangalore, near the port
Coordinates: 12.926184722549516, 74.81406211853027"
v6Rfg6u7;682;Coordinates;Maharashtra, Amravati, location: Nandgaon Peth;16.38541,73.69188;;;"Maharashtra, Amravati, location: Nandgaon Peth
Coordinates: 16.385412, 73.691881"
5O2iWfRq;683;Coordinates;Maharashtra, Nagpur, location: Butibori;20.92917,78.96306;Butibori Industrial Park;;"Maharashtra, Nagpur, location: Butibori
Coordinates from Wikimapia"
db6GSHts;684;Administrative region;Latur, Maharashtra, India;18.4,76.5833;;;"Maharashtra, Yavatmal
Coordinates: 20.38662992935072, 78.12034606933594"
c6SpEln1;685;Coordinates;Maharashtra, Raigad, location: Chawk in Khalapur Taluka;18.89979,73.2425;;;"Maharashtra, Raigad, location: Chawk in Khalapur Taluka
Coordinates: 18.899790361256617, 73.24250221252441"
m2YZqtn5;686;Coordinates;Maharashtra, Thane, location: Wada;19.65156,73.14457;;;"Maharashtra, Thane, location: Wada
Coordinates: 19.651560081043407, 73.14456939697266"
LEcps_OT;687;Coordinates;Maharashtra, Mumbai, location: 169, Aarey Milk Colony, Goregaon East;19.14833,72.88167;;;"Maharashtra, Mumbai, location: 169, Aarey Milk Colony, Goregaon East
Coordinates: 19.148330420454105, 72.88166999816895"
OifsnKrp;688;Coordinates;Maharashtra, Ratnagiri, location: Lote Parshuram;17.59952,73.48755;;;"Maharashtra, Ratnagiri, location: Lote Parshuram
Coordinates: 17.599521119023215, 73.487548828125"
yXqVJz-b;690;Coordinates;Maharashtra, Pune, location: Khed;18.85496,73.88838;;;"Maharashtra, Pune, location: Khed
Coordinates: 18.854960163049142, 73.88837814331055"
AX9v_xuY;691;Coordinates;Maharashtra, Ratnagiri, location: Kunbiwadi;17.28259,73.20871;;;"Maharashtra, Ratnagiri, location: Kunbiwadi
Coordinates: 17.282586, 73.208709"
XcyMpIOK;692;Coordinates;Maharashtra, Raigad;18.51559,73.18199;;;"Maharashtra, Raigad
Coordinates: 18.51558627012285, 73.18199157714844"
ZpDXA25S;693;Coordinates;Maharashtra, Mumbai, location: Navi Mumbai;18.90081,72.97999;;;"Maharashtra, Mumbai, location: Navi Mumbai
Coordinates: 18.900805398921133, 72.97998905181885"
7ssaXu5l;694;Administrative region;Chennai, Tamil Nadu, India;13.05241,80.25082;;;"Tamil Nadu, Kancheepuram, location: Mahindra World City, Chengalpattu
Coordinates: 12.723405172327517, 80.01428604125977"
y4ENwxe3;695;Coordinates;Tamil Nadu, Tirunelvel, location: Nanguneri;8.49177,77.65802;AMRL SEZ;;"Tamil Nadu, Tirunelvel, location: Nanguneri
Coordinates: 8.491767, 77.658021"
HSyXcbyM;696;Coordinates;Tamil Nadu, Tiruvallur, location: Ennore;13.20652,80.31852;Ennore SEZ;;"Tamil Nadu, Tiruvallur, location: Ennore
Coordinates: 13.20652, 80.318525"
JV-axoE2;697;Coordinates;Tamil Nadu, Perambular;11.2322,78.8833;;;"Tamil Nadu, Perambular
Coordinates: 11.232202165557737, 78.8832950592041"
DF1zHmMw;698;Coordinates;Kattupalli Village, Tamil Nadu 600120, India;13.30574,80.33001;;;"Tamil Nadu, Tiruvallur, location: Kattupalli village, near Ennor
Coordinates: 13.305744, 80.330014"
JyGXKqsW;699;Coordinates;Uttaranchal, Sitarganj;28.92514,79.70042;;;"Uttaranchal, Sitarganj
Coordinates: 28.925141, 79.700416"
oTtSel8I;700;Administrative region;Neuquén, Argentina;-38.95244,-68.06414;;;Neuquén
jMh3cesJ;701;Administrative region;San Pedro, Misiones Province, Argentina;-26.63086,-54.11316;;;municipio de San Pedro
IZLHHvQU;703;Administrative region;A. Ibarra, Santiago del Estero, Argentina;-27.79594,-64.24266;;;Ibarra (Santiago del Estero)
Oj1xydR8;704;Administrative region;Quimilí, Santiago del Estero Province, Argentina;-27.64502,-62.41349;;;Ibarra (Santiago del Estero)
htzThpQc;706;Administrative region;Perito Moreno, Santa Cruz, Argentina;-46.59065,-70.92698;;;Perito Moreno (Santa Cruz)
_TuEgdhd;708;Administrative region;Coronel Juan Solá, Salta Province, Argentina;-23.46876,-62.88759;;;Juan Solá (Salta), Tartagal Oriental, Morillo
pAjvj53t;709;Administrative region;Chilecito, La Rioja, Argentina;-29.16596,-67.5;;;Chilecito (La Rioja)
h_Ikeox-;710;Administrative region;Punta Colorada, Río Negro, Argentina;-41.83692,-65.19556;;;Río Negro, Between the land of Solari Yrigoyen and Punta Colorada
Ph2RbCSj;717;Administrative region;Río Negro, Argentina;-40.73443,-66.61765;;;"Province ""Río Negro"""
uGLvFrrD;718;Administrative region;Argentina;-38.4161,-63.61667;;;
sM_Xux7M;719;Administrative region;Río Negro Province, Argentina;-40.73443,-66.61765;;;"Province ""Río Negro""
"
ycgL020a;723;Coordinates;Sierra Grande;-41.60697,-65.35398;;;"Sierra Grande
Coordinates: -41.60697150486485, -65.35397529602051

Spatial data derived from the Mapathon 2020."
UuEBndEN;724;Administrative region;Buenos Aires Province, Argentina;-37.20173,-59.84107;;;
m3B1vgMY;727;Coordinates;Malargüe, Mendoza Province, Argentina;-35.48446,-69.57975;;;Los establecimientos de la empresa en Mendoza son Campo el Álamo, Las Juntas, Los Molles, Las Leñas, Valle Hermoso, Los Amarillos, Agua del Toro, Río Colorado (sur de Mendoza). En estas propiedades están la laguna Niña Encantada, el Pozo de las Ánimas, el centro termal Los Molles, el Centro de Ski las Leñas, la Laguna de Valle Hermoso y otros espejos de agua cordilleranos.
XBYgadvF;727;Coordinates;Los Molles, Mendoza, Argentina;-35.16562,-69.93887;El Álamo;;Es uno de los campos de la empresa, tiene 150000 hectáreas. parte de estas hectáreas se encuentran arrendadas a pequeños productores
naHFfLmu;729;Administrative region;La Pampa Province, Argentina;-36.61476,-64.28392;;;"La Pampa
Coordinates: -37.83148014503287, -65.10498046875"
FqrqLtKh;732;Administrative region;Chaco Province, Argentina;-27.42572,-59.02438;;;"Chaco
Coordinates: -26.529565238267566, -60.9521484375
El territorio está comprendido entre las localidades de Comandancia Frías, Taco Pozo y Fuerte Esperanza en los departamentos de Güemes y Almirante Brown."
-qZvhM6F;734;Administrative region;Neuquen, Argentina;-38.94587,-68.07309;;;Patagonia
PoDZmiSC;736;Administrative region;Victoria, Entre Rios, Argentina;-32.62159,-60.15753;;;Isla Irupé
-hxEDZdb;737;Administrative region;Caucete, San Juan Province, Argentina;-31.65417,-68.28528;;;Caucete, Valle tulum
opX7pVPo;738;Administrative region;Santa Cruz de la Sierra, Bolivia;-17.86667,-63.0;;;
3MDktnmH;739;Administrative region;Chané, Bolivia;-17.00712,-63.22384;;;
j0_iXH72;740;Administrative region;Cerro Mutún, Bolivia;-19.19028,-57.88389;;;Cerro Mutún, Municipio Pueto Suarez, provincia Germán Bush
UUmCDiyg;741;Administrative region;Corocoro, Bolivia;-17.16667,-68.45;;;altiplano, Corocoro
in-dMpmM;744;Administrative region;San Pedro, Santa Cruz de la Sierra, Bolivia;-17.74708,-63.1817;;;"San Pedro, north of Santa Cruz
Coordinates: -14.867150772062557, -61.51622772216797"
klK4pocq;746;Coordinates;Mato Grosso;-12.42585,-55.89844;;;"Mato Grosso
Coordinates: -12.425847783029134, -55.8984375"
_KV31dc-;747;Administrative region;São Paulo - State of São Paulo, Brazil;-23.55052,-46.63331;;;
i91208JH;749;Exact location;Januária - Minas Gerais, Brasil;-15.49547,-44.37031;Fazenda Nova Buriti;;
UMFgAe_-;750;Administrative region;State of Pará, Brazil;-1.99813,-54.93062;;;
dfV-Po7T;751;Administrative region;State of Bahia, Brazil;-12.57974,-41.70073;;;
w3ZC23dr;753;Administrative region;Itapipoca, Ceara, Praia da Baleia;-3.88618,-38.47412;;;"Ceara, Praia da Baleia, a 200 km de Fortaleza

Coordinates: -3.886177, -38.474121"
lNtS_cgg;754;Administrative region;State of São Paulo, Brazil;-23.54318,-46.62918;;;Goias, Mato Grosso, Bahia
r80vTdaK;755;Administrative region;Maranhão, Brazil;-5.08042,-45.60071;;;Maranhão
VDIyEYHA;756;Administrative region;São Desidério - Bahia, Brazil;-12.36085,-44.97522;;;Bahia
I4OVLNiO;757;Administrative region;State of Piauí, Brazil;-7.71834,-42.72892;;;Piaui, Maranhao, Tocantins y Bahía
z6OXTpNp;759;Exact location;State of Tocantins, Brazil;-12.95299,-49.51233;Nova Fronteira I II y III;;
KSM2b7PL;761;Administrative region;Três Lagoas - Mato Grosso do Sul, Brazil;-20.75985,-51.69508;;;Mato Grosso do Sul
ekCp33jp;765;Administrative region;Santarém, Pará, Brazil;-2.81258,-55.53919;;;
HTV2Bjng;766;Administrative region;State of Rio Grande do Sul, Brazil;-30.34326,-54.88164;;;Valle del Rio Jurua
ZitJ9Q1p;767;Exact location;Bahia, Santa Cruz de Cabrália;-16.23577,-39.01794;;;"Bahia, Santa Cruz de Cabrália
Coordinates: -16.235772, -39.017944
The total area also includes the following municipalities: Belmonte, Canavieiras, Eunápolis, Guaratinga, Itabela, Itagimirim, Itapebi, Mascote, Porto Seguro, Potiraguá and Santa Cruz Cabrália."
4CufZnAX;768;Administrative region;São Paulo, Brazil;-22.35681,-51.48927;;;
O_T_KJmJ;768;;Mato Grosso do Sul, Brazil;-21.7551,-52.9834;;;
fA-XTgMR;771;Administrative region;Brasil;-14.235,-51.92528;;;
WrDZvIE8;773;Administrative region;Bahía, Brasil;-10.97878,-45.54355;Bananal Farm;;
7g6EEf81;774;Administrative region;Estado de Paraná, Brasil;-25.25209,-52.02154;;;Parana and Sao Paulo.
Q11q5tsM;775;Administrative region;Baixa Grande - Bahía, Brasil;-11.95501,-40.16622;;;
Fnscui-1;776;Exact location;Alto Taquari - Mato Grosso, Brasil;-17.82513,-53.27984;Alto Taquari Farm;;
pxvlnMO3;778;Administrative region;Pará, Brasil;-6.2071,-52.7028;;;El proyecto se desarrolla en los municipios de São Miguel do Guamá, São Domingos do Capim, Irituia, Mãe do Rio, Aurora do Pará, Santa María do Pará y Capitão Poço
NjQX963-;779;Administrative region;Ivinhema - Mato Grosso do Sul, Brazil;-22.36635,-53.89122;;;el área de la transacción es parte de la parte de la empresa que opera en  Ivinhema, Mato Grosso do Sul
ZkxEkHcZ;781;Administrative region;Tocantins, Brasil;-11.40987,-48.71914;;;
Wczz98sc;782;Exact location;State of Tocantins;-16.19311,-43.73404;;;"State of Tocantins
Coordinates: -16.1931109206795, -43.734044"
5ytS3goN;783;Administrative region;Mato Grosso, Brasil;-12.68187,-56.9211;;;Mato Grosso
Et6iTxJX;784;Administrative region;Barreirinha, State of Amazonas, 69160-000, Brasil;-2.79991,-57.06835;;;
KHDiFSeJ;785;Administrative region;State of Bahia, Brazil;-12.57974,-41.70073;;;
N2lZjjeA;793;Administrative region;Región de la Araucanía, Chile;-38.94892,-72.33111;;;Araucania
JDOiOMKU;794;Administrative region;Ovalle, Ovalle, Coquimbo Region, Chile;-30.6043,-71.19699;;;
iz7X_Vz8;795;Administrative region;Maule Region, Chile;-35.51636,-71.5724;;;
Z8nGnIO9;798;Administrative region;Picún Leufú, Neuquen, Argentina;-39.51822,-69.28947;;;Comunidad Huenctru Trawel Leufu (ciudad Picun Leufu)
5qxvXKLk;799;Administrative region;Región de Atacama, Chile;-27.56606,-70.05031;;;Atacama, Cuenca de Copiapo', proyecto Caserones (comunidades mas cercanas: Carrizallillo Grande y Juntas del Potro)
iNv8LPj8;801;Administrative region;Norte de Santander, Tibú;8.65468,-72.73825;;;"Norte de Santander, Tibú.
The polygons presented here represent some of the properties belonging to Bioagroindustrial de Colombia. By comparing the name of the facilities mentioned in Source 12 and cadastral data, it was possible to determine some plots. Finding the other plots was complicated because a lot of properties in the area have the same name, therefore selecting one of them would have some considerable error. The area has extended plantations of palm oil."
sAPiojWE;802;Coordinates;Las Pavas, Buenos Aires, El Peñón, Bolívar, Colombia;8.7748,-73.9284;Las Pavas;;"The shapefile represents two properties that were acquired in 2007 by the Consorcio El Labrador. The polygon on the rights represents the plot known as Hacienda Las Pavas and the one on the left side is ""Peñaloza"". The first one has 1495 hectares (information from cadastre) and Peñaloza has 198 hectares. It was impossible to determine the location of the landholdings known as ""Si Dios Quiere"" and ""No te canses"", because in the department of Bolívar there are several properties with those names and none is similar to the size described on the sources.

Cadastre id numbers:
Hacienda Las Pavas: 132680002000000010110000000000
Peñaloza: 136670000000000030400000000000"
JJZKEH7K;802;Approximate location;San Martín de Loba, Bolívar, Colombia;8.94088,-74.03787;SI DIOS QUIERE;Paraje de Lázaro, corregimiento de Playitas, Municipio de San Martin de Loba en el Departamento de Bolívar;"Location Description from source # 9
Size: 42 Has"
6bzt9KYE;802;Approximate location;San Martín de Loba, Bolívar, Colombia;8.94088,-74.03787;NO TE CANSES;Paraje Papayal, Corregimiento Papayal, Municipio San Martín De Loba en el Departamento de Bolívar;"Description from Source 9
Size of the holding: 473 Has"
YcQup_Th;803;Coordinates;San Jacinto;9.8145,-74.9656;Cuba;;"There are two facilities closely related to this case. They are known as ""Barcelona"" and ""Cuba"". In the shapefile, the first one was subdivided in several units of around 20 hectares each. The one on the right, Cuba, has an extension of 1010 hectares. These lands were, presumably, illegally acquired by former senator Otto Bula, who is now in Prison. The landholding in between known as ""El Encanto"" presents vasts extensions of deforestation for commercial forest plantations. It is unsure whether this last one also belongs to this corporation. The extension of the polygons is 1942 hectares approximately. These polygons represent a minimal part of the area in hands of the companies that are linked to the ""Corporación Amigos de Los Montes de María""

Cadastre Id Number: Cuba - 136540000000000030136000000000
Barcelona (Just one): 136540000000000020246000000000"
i-VwHXLN;805;Coordinates;Toledo, Norte de Santander, Colombia - Cubará, Boyacá, Colombia;7.0421,-72.1965;Siriri;;The exploration block is located both in the Municipalities of Toledo (Norte de Santander) and Cubará (Boyacá). The size of the block for EXPLORATION is 41821.68404 hectares. 14860.40684 are in current extraction (According to official data from the ANH)
Rg3b4o4W;806;Coordinates;Riosucio, Chocó, Colombia;7.2697,-76.8394;Collective land title of afrocolombian Communities of the basins of the rivers Curvaradó and Jiguamiandó;;This polygon covers the basins of both rivers Curvaradó and Jiguamiandó in the Chocó State of Colombia. It was allocated to those communities on November 22nd of 2000, as stated in the resolution 2809 of the Instituto Colombiano de Reforma Agraria. It is possible that the land allocated is larger, but the land use change is basically happening in this polygon. Source: http://www.consejodeestado.gov.co/documentos/boletines/147/S3/11001-03-26-000-2007-00083-00(34911).pdf (Consejo de Estado). Size of the polygon is 28991 hectares, it cannot be confirmed that all of them belong to the company. It represents some private and collective (from afrocolombian) properties. There are ongoing legal process. In this polygons are the properties mentioned in the Report Nr 54 of the Court of Supreme Justice: Collective land title of afrocolombian Communities of the basins of the rivers Curvaradó and Jiguamiandó, El Tesoro, La Nevera, Las Palmitas, No hay como Dios and Santa Teotista
r82HVElU;807;Coordinates;Ovejas, Ovejas, Sucre, Colombia;8.6486,-74.7723;La Europa;;"The polygon shows, according to cadastre data, all the holdings located in the Municipality of Sucre in the State of Sucre with the name ""La Europa"". It seems that, the once as a unit Finca Europa, has been turned into smaller fragments. This was usually done to obtain more credits from the governments and subsidies for irrigation districts. Although satellite pictures show a clear oil palm plantation, the cadastre georreferenced holdings are not continuous. The land size, according to cadastre data is around 800 hectares. This might have small georrefentiation problems and the lack of some fragments, therefore, the smaller size."
